trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
200,False,"{'a': 0.6, 'e': 0.1353352832366127}",20,6,24.13258547173418,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.6, 'e': 0.13398867466880496}",20,5,21.74118437824543,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.6, 'e': 0.13265546508012174}",25,7,31.568807543635028,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.6, 'e': 0.13133552114849306}",20,16,8.302229690123548,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.6, 'e': 0.13002871087842593}",20,0,27.76614220152985,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.6, 'e': 0.12873490358780426}",30,0,43.62533500645285,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.6, 'e': 0.12745396989482075}",25,13,25.319520521280392,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.6, 'e': 0.12618578170503877}",25,5,31.18394559428219,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.6, 'e': 0.12493021219858243}",30,17,17.884882365987814,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.6, 'e': 0.12368713581745484}",30,0,42.04986685421589,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.6, 'e': 0.12245642825298192}",20,11,20.052463129968494,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.6, 'e': 0.1212379664333817}",20,9,17.553258297855066,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.6, 'e': 0.12003162851145674}",25,12,22.30290324578989,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.6, 'e': 0.11883729385240967}",25,16,13.908600044724228,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.6, 'e': 0.1176548430217792}",30,0,42.40379408767339,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
215,False,"{'a': 0.6, 'e': 0.11648415777349698}",35,7,47.62453109932578,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.6, 'e': 0.11532512103806253}",35,22,24.53403174307183,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.6, 'e': 0.11417761691083651}",25,14,21.330198958835986,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.6, 'e': 0.11304153064044986}",35,16,28.78774550642754,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.6, 'e': 0.11191674861732889}",20,2,25.964210650985677,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.6, 'e': 0.11080315836233387}",25,17,11.961256548543757,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.6, 'e': 0.10970064851551142}",25,0,39.03379030865987,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.6, 'e': 0.10860910882495797}",25,5,33.37202061111418,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.6, 'e': 0.10752843013579497}",20,14,9.18815384651724,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
